category_low_id,week_num,region,cl_cnt
1100,45,Niigata,1712
1100,45,Tokyo,16573
1100,46,Niigata,1520
1100,46,Tokyo,15748
1101,1,Niigata,952
1101,1,Tokyo,211285
1101,2,Niigata,1249
1101,2,Tokyo,207349
1101,3,Niigata,1142
1101,3,Tokyo,186973
1101,4,Niigata,5867
1101,4,Tokyo,240901
1101,5,Niigata,5264
1101,5,Tokyo,235678
1101,6,Niigata,5249
1101,6,Tokyo,229043
1101,7,Niigata,5946
1101,7,Tokyo,256268
1101,8,Niigata,6687
1101,8,Tokyo,276657
1101,9,Niigata,7432
1101,9,Tokyo,246852
1101,10,Niigata,6215
1101,10,Tokyo,234877
1101,11,Niigata,5578
1101,11,Tokyo,233574
1101,12,Niigata,7045
1101,12,Tokyo,250276
1101,13,Niigata,6545
1101,13,Tokyo,246830
1101,14,Niigata,6604
1101,14,Tokyo,262031
1101,15,Niigata,4311
1101,15,Tokyo,259222
1101,16,Niigata,4658
1101,16,Tokyo,214800
1101,17,Niigata,3153
1101,17,Tokyo,149952
1101,18,Niigata,3948
1101,18,Tokyo,210842
1101,19,Niigata,4373
1101,19,Tokyo,231388
1101,20,Niigata,4152
1101,20,Tokyo,221489
1101,21,Niigata,1419
1101,21,Tokyo,111930
1101,22,Niigata,1385
1101,22,Tokyo,148869
1101,23,Niigata,2470
1101,23,Tokyo,179659
1101,24,Niigata,4930
1101,24,Tokyo,236187
1101,25,Niigata,5195
1101,25,Tokyo,237140
1101,26,Niigata,5231
1101,26,Tokyo,233845
1101,27,Niigata,3767
1101,27,Tokyo,211983
1101,28,Niigata,1192
1101,28,Tokyo,179899
1101,29,Niigata,1050
1101,29,Tokyo,177655
1101,30,Niigata,3589
1101,30,Tokyo,187096
1101,31,Niigata,6843
1101,31,Tokyo,181184
1101,32,Niigata,7329
1101,32,Tokyo,179151
1101,33,Niigata,8125
1101,33,Tokyo,189556
1101,34,Niigata,7578
1101,34,Tokyo,180520
1101,35,Niigata,4528
1101,35,Tokyo,176036
1101,36,Niigata,3075
1101,36,Tokyo,186413
1101,37,Niigata,6837
1101,37,Tokyo,179771
1101,38,Niigata,6712
1101,38,Tokyo,183728
1101,39,Niigata,5406
1101,39,Tokyo,180064
1101,40,Niigata,5235
1101,40,Tokyo,180405
1101,41,Niigata,5075
1101,41,Tokyo,189458
1101,42,Niigata,1064
1101,42,Tokyo,185430
1101,43,Niigata,1615
1101,43,Tokyo,183289
1101,44,Niigata,2380
1101,44,Tokyo,166041
1101,45,Niigata,5964
1101,45,Tokyo,174630
1101,46,Niigata,5754
1101,46,Tokyo,182512
1102,1,Niigata,222
1102,1,Tokyo,17107
1102,2,Niigata,258
1102,2,Tokyo,16443
1102,3,Niigata,235
1102,3,Tokyo,9929
1102,4,Niigata,243
1102,4,Tokyo,10546
1102,5,Niigata,265
1102,5,Tokyo,12179
1102,6,Niigata,286
1102,6,Tokyo,10876
1102,7,Niigata,282
1102,7,Tokyo,10039
1102,8,Niigata,239
1102,8,Tokyo,9425
1102,9,Niigata,312
1102,9,Tokyo,9621
1102,10,Niigata,302
1102,10,Tokyo,8380
1102,11,Niigata,222
1102,11,Tokyo,6904
1102,12,Niigata,196
1102,12,Tokyo,7156
1102,13,Niigata,239
1102,13,Tokyo,7608
1102,14,Niigata,304
1102,14,Tokyo,8260
1102,15,Niigata,227
1102,15,Tokyo,6761
1102,16,Niigata,172
1102,16,Tokyo,6285
1102,17,Niigata,237
1102,17,Tokyo,6090
1102,18,Niigata,224
1102,18,Tokyo,6923
1102,19,Niigata,763
1102,19,Tokyo,7970
1102,20,Niigata,1434
1102,20,Tokyo,7374
1102,21,Niigata,813
1102,21,Tokyo,6971
1102,22,Niigata,1143
1102,22,Tokyo,8084
1102,23,Niigata,1478
1102,23,Tokyo,7175
1102,24,Niigata,1507
1102,24,Tokyo,6985
1102,25,Niigata,1785
1102,25,Tokyo,7516
1102,26,Niigata,1839
1102,26,Tokyo,7333
1102,27,Niigata,1237
1102,27,Tokyo,6797
1102,28,Niigata,1259
1102,28,Tokyo,6529
1102,29,Niigata,1266
1102,29,Tokyo,6536
1102,30,Niigata,1517
1102,30,Tokyo,6075
1102,31,Niigata,1447
1102,31,Tokyo,6700
1102,32,Niigata,1497
1102,32,Tokyo,5524
1102,33,Niigata,1580
1102,33,Tokyo,6584
1102,34,Niigata,1554
1102,34,Tokyo,6649
1102,35,Niigata,1346
1102,35,Tokyo,7304
1102,36,Niigata,1335
1102,36,Tokyo,9283
1102,37,Niigata,1323
1102,37,Tokyo,9510
1102,38,Niigata,1384
1102,38,Tokyo,9158
1102,39,Niigata,1146
1102,39,Tokyo,8956
1102,40,Niigata,1311
1102,40,Tokyo,9147
1102,41,Niigata,1466
1102,41,Tokyo,8464
1102,42,Niigata,1442
1102,42,Tokyo,6547
1102,43,Niigata,1395
1102,43,Tokyo,5653
1102,44,Niigata,1578
1102,44,Tokyo,6560
1102,45,Niigata,1275
1102,45,Tokyo,6053
1102,46,Niigata,1190
1102,46,Tokyo,5979
1201,1,Niigata,1778
1201,1,Tokyo,7
1201,2,Niigata,2386
1201,2,Tokyo,10
1201,3,Niigata,2747
1201,3,Tokyo,11
