category_min_id,week_num,cv_cnt
162,16,2408
162,17,2192
162,18,1793
162,19,2635
162,20,2629
162,21,2479
162,22,2719
162,23,2908
162,24,3016
162,25,3077
162,26,2945
162,27,2940
162,28,2624
162,29,2639
162,30,2561
162,31,2686
162,32,2338
162,33,2698
162,34,3355
162,35,3326
162,36,3367
162,37,3091
162,38,3307
162,39,3119
162,40,3040
162,41,3341
162,42,2939
162,43,2667
162,44,2450
162,45,3111
163,1,305
163,2,383
163,3,429
163,4,458
163,5,487
163,6,420
163,7,370
163,8,415
163,9,410
163,10,397
163,11,390
163,12,439
163,13,417
163,14,408
163,15,409
163,16,407
163,17,470
163,18,410
163,19,469
163,20,347
163,21,429
163,22,401
163,23,448
163,24,406
163,25,362
163,26,311
163,27,302
163,28,313
163,29,300
163,30,276
163,31,275
163,32,273
163,33,233
163,34,304
163,35,247
163,36,270
163,37,285
163,38,284
163,39,398
163,40,233
163,41,297
163,42,305
163,43,289
163,44,223
163,45,300
164,1,12
164,2,14
164,3,20
164,4,29
164,5,14
164,6,13
164,7,9
164,8,12
164,9,24
164,10,17
164,11,17
164,12,12
164,13,14
164,14,20
164,15,13
164,16,6
164,17,9
164,18,5
164,19,24
164,20,14
164,21,11
164,22,14
164,23,7
164,24,11
164,25,8
164,26,7
164,27,34
164,28,12
164,29,17
164,30,11
164,31,23
164,32,18
164,33,11
164,34,19
164,35,8
164,36,7
164,37,16
164,38,11
164,39,15
164,40,15
164,41,16
164,42,25
164,43,18
164,44,15
164,45,15
165,1,258
165,2,295
165,3,270
165,4,279
165,5,362
165,6,285
165,7,290
165,8,270
165,9,312
165,10,299
165,11,247
165,12,277
165,13,261
165,14,301
165,15,269
165,16,305
165,17,269
165,18,221
165,19,325
165,20,280
165,21,332
165,22,341
165,23,298
165,24,307
165,25,303
165,26,281
165,27,292
165,28,275
165,29,241
165,30,280
165,31,265
165,32,168
165,33,203
165,34,244
165,35,279
165,36,255
165,37,238
165,38,219
165,39,264
165,40,262
165,41,291
165,42,230
165,43,211
165,44,192
165,45,237
166,1,217
166,2,300
166,3,338
166,4,239
166,5,276
166,6,352
166,7,308
166,8,259
166,9,261
166,10,218
166,11,204
166,12,277
166,13,299
166,14,336
166,15,333
166,16,325
166,17,292
166,18,201
166,19,354
166,20,308
166,21,188
166,22,181
166,23,206
166,24,301
166,25,312
166,26,356
166,27,308
166,28,300
166,29,297
166,30,287
166,31,369
166,32,330
166,33,424
166,34,448
166,35,481
166,36,508
166,37,491
166,38,422
166,39,506
166,40,421
166,41,428
166,42,407
166,43,388
166,44,320
166,45,365
167,2,11
167,3,8
167,4,5
167,5,13
167,6,2
167,7,9
167,8,4
167,9,8
167,10,7
167,11,9
167,12,8
167,13,6
167,14,14
167,15,11
167,16,6
167,17,5
167,18,7
167,19,12
167,20,13
167,21,17
167,22,12
167,23,9
167,24,14
167,25,8
167,26,11
167,27,16
167,28,17
167,29,10
167,30,12
167,31,16
167,32,12
167,33,10
167,34,11
167,35,9
167,36,17
167,37,19
167,38,15
167,39,16
167,40,14
167,41,21
167,42,21
167,43,12
