category_min_id,week_num,region,media_cnt
5,33,Tokyo,1870
5,34,Niigata,1131
5,34,Tokyo,1843
5,35,Niigata,1158
5,35,Tokyo,1852
5,36,Niigata,1164
5,36,Tokyo,1791
5,37,Niigata,1177
5,37,Tokyo,1809
5,38,Niigata,1165
5,38,Tokyo,1862
5,39,Niigata,1210
5,39,Tokyo,1903
5,40,Niigata,1173
5,40,Tokyo,1931
5,41,Niigata,1218
5,41,Tokyo,1848
5,42,Niigata,1199
5,42,Tokyo,1818
5,43,Niigata,1118
5,43,Tokyo,1831
5,44,Niigata,1120
5,44,Tokyo,1854
5,45,Niigata,1149
5,45,Tokyo,1896
5,46,Niigata,1140
5,46,Tokyo,1891
6,1,Niigata,5
6,1,Tokyo,10
6,2,Niigata,8
6,2,Tokyo,6
6,3,Niigata,7
6,3,Tokyo,7
6,4,Niigata,9
6,4,Tokyo,5
6,5,Niigata,8
6,5,Tokyo,5
6,6,Niigata,8
6,6,Tokyo,6
6,7,Niigata,6
6,7,Tokyo,7
6,8,Niigata,7
6,8,Tokyo,6
6,9,Niigata,6
6,9,Tokyo,4
6,10,Niigata,8
6,10,Tokyo,7
6,11,Niigata,8
6,11,Tokyo,6
6,12,Niigata,9
6,12,Tokyo,9
6,13,Niigata,7
6,13,Tokyo,4
6,14,Niigata,7
6,14,Tokyo,5
6,15,Niigata,5
6,15,Tokyo,8
6,16,Niigata,6
6,16,Tokyo,5
6,17,Niigata,7
6,17,Tokyo,6
6,18,Niigata,6
6,18,Tokyo,8
6,19,Niigata,8
6,19,Tokyo,6
6,20,Niigata,7
6,20,Tokyo,3
6,21,Niigata,7
6,21,Tokyo,2
6,22,Niigata,7
6,22,Tokyo,5
6,23,Niigata,8
6,23,Tokyo,5
6,24,Niigata,10
6,24,Tokyo,6
6,25,Niigata,6
6,25,Tokyo,6
6,26,Niigata,8
6,26,Tokyo,4
6,27,Niigata,7
6,27,Tokyo,6
6,28,Niigata,8
6,28,Tokyo,5
6,29,Niigata,7
6,29,Tokyo,4
6,30,Niigata,7
6,30,Tokyo,6
6,31,Niigata,9
6,31,Tokyo,5
6,32,Niigata,8
6,32,Tokyo,5
6,33,Niigata,9
6,33,Tokyo,7
6,34,Niigata,7
6,34,Tokyo,5
6,35,Niigata,8
6,35,Tokyo,6
6,36,Niigata,5
6,36,Tokyo,5
6,37,Niigata,5
6,37,Tokyo,7
6,38,Niigata,5
6,38,Tokyo,6
6,39,Niigata,5
6,39,Tokyo,5
6,40,Niigata,3
6,40,Tokyo,5
6,41,Niigata,4
6,41,Tokyo,7
6,42,Niigata,3
6,42,Tokyo,7
6,43,Niigata,4
6,43,Tokyo,7
6,44,Niigata,5
6,44,Tokyo,7
6,45,Niigata,5
6,45,Tokyo,8
6,46,Niigata,5
6,46,Tokyo,8
7,1,Niigata,47
7,1,Tokyo,29
7,2,Niigata,56
7,2,Tokyo,24
7,3,Niigata,56
7,3,Tokyo,24
7,4,Niigata,51
7,4,Tokyo,25
7,5,Niigata,57
7,5,Tokyo,22
7,6,Niigata,59
7,6,Tokyo,25
7,7,Niigata,55
7,7,Tokyo,23
7,8,Niigata,57
